_id,districtName,stateID,govtDistrictId,create_date,createdAt,updatedAt,__v
67c6ada157f5829f07d44cfc,SOUTH WEST GARO HILLS,650aa743b7c464b29e399a97,1711,2025-03-04T07:37:05.720Z,2025-03-04T07:37:05.721Z,2025-03-04T07:37:05.721Z,0
65e6b420805e43c45e04c5a4,EAST KHASI HILLS,650aa743b7c464b29e399a97,1706,2024-03-05T05:56:48.636Z,2024-07-26T08:27:56.656Z,2024-07-26T07:43:29.452Z,0
67c6b7fee202caba8817916b,EASTERN WEST KHASI HILLS,650aa743b7c464b29e399a97,1712,2025-03-04T08:21:18.485Z,2025-03-04T08:21:18.486Z,2025-03-04T08:21:18.486Z,0
67c6b7ffe202caba88179189,WEST KHASI HILLS,650aa743b7c464b29e399a97,1704,2025-03-04T08:21:19.818Z,2025-03-04T08:21:19.819Z,2025-03-04T08:21:19.819Z,0
66a36d363fae128449d03aaa,RI BHOI,650aa743b7c464b29e399a97,1705,2024-07-26T09:32:38.904Z,2024-07-26T09:32:38.905Z,2024-07-26T09:32:38.905Z,0
67c6ba9aba986c86a92531f0,NORTH GARO HILLS,650aa743b7c464b29e399a97,1708,2025-03-04T08:32:26.497Z,2025-03-04T08:32:26.498Z,2025-03-04T08:32:26.498Z,0
67c6ada257f5829f07d44d07,SOUTH GARO HILLS,650aa743b7c464b29e399a97,1703,2025-03-04T07:37:06.114Z,2025-03-04T07:37:06.115Z,2025-03-04T07:37:06.115Z,0
66a35e0c847ef156cad45701,EAST GARO HILLS,650aa743b7c464b29e399a97,1702,2024-07-26T08:27:56.656Z,2024-07-26T08:27:56.656Z,2024-07-26T08:27:56.656Z,0
67c6b7fee202caba88179172,EAST JAINTIA HILLS,650aa743b7c464b29e399a97,1709,2025-03-04T08:21:18.761Z,2025-03-04T08:21:18.762Z,2025-03-04T08:21:18.762Z,0
660d0192d83fdbd7e0e8126d,WEST GARO HILLS,650aa743b7c464b29e399a97,1701,2024-03-05T05:56:48.636Z,2024-07-26T08:27:56.656Z,2024-07-26T08:26:42.739Z,0
66a35ba2847ef156cad45591,WEST JAINTIA HILLS,650aa743b7c464b29e399a97,1707,2024-07-26T08:17:38.755Z,2024-07-26T08:17:38.756Z,2024-07-26T08:17:38.756Z,0
67c6b80be202caba8817928a,SOUTH WEST KHASI HILLS,650aa743b7c464b29e399a97,1710,2025-03-04T08:21:31.577Z,2025-03-04T08:21:31.577Z,2025-03-04T08:21:31.577Z,0
