_id,blockName,districtID,createDate,__v,govtBlockId,updatedAt,createdAt
660f8d79ecf58e7e735f49ec,MAWLAI,65e6b420805e43c45e04c5a4,2024-04-05T05:34:49.206Z,0,170612,2024-07-26T08:26:09.101Z,
65e6bc9650589fd545144695,KHATAR SHNONG - LAITKROH,65e6b420805e43c45e04c5a4,2024-03-05T06:32:54.735Z,0,170608,2024-07-26T08:27:47.487Z,
66a35e17847ef156cad45722,TIKRIKILLA,660d0192d83fdbd7e0e8126d,2024-07-26T08:28:07.976Z,0,170103,2024-07-26T08:28:07.977Z,2024-07-26T08:28:07.977Z
66a35e39847ef156cad4577e,DEMDEMA,660d0192d83fdbd7e0e8126d,2024-07-26T08:28:41.248Z,0,170108,2024-07-26T08:28:41.249Z,2024-07-26T08:28:41.249Z
66a35d91847ef156cad455df,LASKEIN,66a35ba2847ef156cad45591,2024-07-26T08:25:53.415Z,0,170702,2024-07-26T08:25:53.417Z,2024-07-26T08:25:53.417Z
67c6b7eee202caba8817900f,DAMALGRE,67c6ada157f5829f07d44cfc,2025-03-04T08:21:02.451Z,0,171103,2025-03-04T08:21:02.454Z,2025-03-04T08:21:02.454Z
67c6b80be202caba8817928d,MAWKYRWAT,67c6b80be202caba8817928a,2025-03-04T08:21:31.672Z,0,171001,2025-03-04T08:21:31.673Z,2025-03-04T08:21:31.673Z
66a36eb941e59281263c361d,RONGJENG,66a35e0c847ef156cad45701,2024-07-26T09:39:05.063Z,0,170201,2024-07-26T09:39:05.064Z,2024-07-26T09:39:05.064Z
66a35ba2847ef156cad45594,THADLASKEIN,66a35ba2847ef156cad45591,2024-07-26T08:17:38.916Z,0,170701,2024-07-26T08:17:38.917Z,2024-07-26T08:17:38.917Z
66a36c0d853f3e622c52761c,SONGSAK,66a35e0c847ef156cad45701,2024-07-26T09:27:41.691Z,0,170202,2024-07-26T09:27:41.692Z,2024-07-26T09:27:41.692Z
65e6ba7050589fd545144673,MAWSYNRAM,65e6b420805e43c45e04c5a4,2024-03-05T06:23:44.029Z,0,170605,2024-07-26T08:27:28.341Z,
66a36c57853f3e622c527689,SELSELLA,660d0192d83fdbd7e0e8126d,2024-07-26T09:28:55.663Z,0,170101,2024-07-26T09:28:55.664Z,2024-07-26T09:28:55.664Z
66a35e2c847ef156cad45759,RONGRAM,660d0192d83fdbd7e0e8126d,2024-07-26T08:28:28.302Z,0,170104,2024-07-26T08:28:28.302Z,2024-07-26T08:28:28.302Z
65e6bb9d50589fd545144688,PYNURSLA,65e6b420805e43c45e04c5a4,2024-03-05T06:28:45.472Z,0,170607,2024-07-26T08:27:39.984Z,
66a35e24847ef156cad45743,GAMBEGRE,660d0192d83fdbd7e0e8126d,2024-07-26T08:28:20.825Z,0,170106,2024-07-26T08:28:20.825Z,2024-07-26T08:28:20.825Z
660f8da7ecf58e7e735f49ef,MAWPAT,65e6b420805e43c45e04c5a4,2024-04-05T05:35:35.529Z,0,170611,2024-07-26T08:26:07.185Z,
65e6bcde50589fd5451446a1,SHILLONG MUNICIPAL AND CANTT.,65e6b420805e43c45e04c5a4,2024-03-05T06:34:06.876Z,0,170609,2024-07-26T08:20:03.810Z,
